Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,13996.099609375,14049.849609375,13991.349609375,14018.5,14018.5,358100
2021-01-04,14104.349609375,14147.9501953125,13953.75,14132.900390625,14132.900390625,495000
2021-01-05,14075.150390625,14215.599609375,14048.150390625,14199.5,14199.5,492500
2021-01-06,14240.9501953125,14244.150390625,14039.900390625,14146.25,14146.25,632300
2021-01-07,14253.75,14256.25,14123.099609375,14137.349609375,14137.349609375,559200
2021-01-08,14258.400390625,14367.2998046875,14221.650390625,14347.25,14347.25,613500
2021-01-11,14474.0498046875,14498.2001953125,14383.099609375,14484.75,14484.75,672900
2021-01-12,14473.7998046875,14590.650390625,14432.849609375,14563.4501953125,14563.4501953125,929600
2021-01-13,14639.7998046875,14653.349609375,14435.7001953125,14564.849609375,14564.849609375,874000
2021-01-14,14550.0498046875,14617.7998046875,14471.5,14595.599609375,14595.599609375,620200
2021-01-15,14594.349609375,14617.4501953125,14357.849609375,14433.7001953125,14433.7001953125,789600
2021-01-18,14453.2998046875,14459.150390625,14222.7998046875,14281.2998046875,14281.2998046875,762000
2021-01-19,14371.650390625,14546.0498046875,14350.849609375,14521.150390625,14521.150390625,546100
2021-01-20,14538.2998046875,14666.4501953125,14517.5498046875,14644.7001953125,14644.7001953125,623100
2021-01-21,14730.9501953125,14753.5498046875,14517.25,14590.349609375,14590.349609375,704600
2021-01-22,14583.400390625,14619.900390625,14357.75,14371.900390625,14371.900390625,776800
2021-01-25,14477.7998046875,14491.099609375,14218.599609375,14238.900390625,14238.900390625,618600
2021-01-27,14237.9501953125,14237.9501953125,13929.2998046875,13967.5,13967.5,660700
2021-01-28,13810.400390625,13898.25,13713.25,13817.5498046875,13817.5498046875,637900
2021-01-29,13946.599609375,13966.849609375,13596.75,13634.599609375,13634.599609375,753200
2021-02-01,13758.599609375,14336.349609375,13661.75,14281.2001953125,14281.2001953125,870500
2021-02-02,14481.099609375,14731.7001953125,14469.150390625,14647.849609375,14647.849609375,915000
2021-02-03,14754.900390625,14868.849609375,14574.150390625,14789.9501953125,14789.9501953125,869500
2021-02-04,14789.0498046875,14913.7001953125,14714.75,14895.650390625,14895.650390625,884700
2021-02-05,14952.599609375,15014.650390625,14864.75,14924.25,14924.25,935600
2021-02-08,15064.2998046875,15159.900390625,15041.0498046875,15115.7998046875,15115.7998046875,671200
2021-02-09,15164.150390625,15257.099609375,15064.2998046875,15109.2998046875,15109.2998046875,713300
2021-02-10,15119.0498046875,15168.25,14977.2001953125,15106.5,15106.5,624800
2021-02-11,15073.25,15188.5,15065.400390625,15173.2998046875,15173.2998046875,500100
2021-02-12,15186.2001953125,15243.5,15081.0,15163.2998046875,15163.2998046875,571800
2021-02-15,15270.2998046875,15340.150390625,15243.400390625,15314.7001953125,15314.7001953125,456000
2021-02-16,15371.4501953125,15431.75,15242.2001953125,15313.4501953125,15313.4501953125,648500
2021-02-17,15279.900390625,15314.2998046875,15170.75,15208.900390625,15208.900390625,504800
