Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-18 00:00:00+05:30,18382.94921875,18394.599609375,18209.80078125,18307.650390625,198800,0.0,0.0
2022-11-21 00:00:00+05:30,18246.400390625,18262.30078125,18133.349609375,18159.94921875,213800,0.0,0.0
2022-11-22 00:00:00+05:30,18179.150390625,18261.849609375,18137.69921875,18244.19921875,177700,0.0,0.0
2022-11-23 00:00:00+05:30,18325.19921875,18325.400390625,18246.0,18267.25,178800,0.0,0.0
2022-11-24 00:00:00+05:30,18326.099609375,18529.69921875,18294.25,18484.099609375,204000,0.0,0.0
2022-11-25 00:00:00+05:30,18528.44921875,18534.900390625,18445.099609375,18512.75,205900,0.0,0.0
2022-11-28 00:00:00+05:30,18430.55078125,18614.25,18365.599609375,18562.75,206500,0.0,0.0
2022-11-29 00:00:00+05:30,18552.44921875,18678.099609375,18552.150390625,18618.05078125,195300,0.0,0.0
2022-11-30 00:00:00+05:30,18625.69921875,18816.05078125,18616.55078125,18758.349609375,345600,0.0,0.0
2022-12-01 00:00:00+05:30,18871.94921875,18887.599609375,18778.19921875,18812.5,325000,0.0,0.0
2022-12-02 00:00:00+05:30,18752.400390625,18781.94921875,18639.19921875,18696.099609375,254400,0.0,0.0
2022-12-05 00:00:00+05:30,18719.55078125,18728.599609375,18591.349609375,18701.05078125,288400,0.0,0.0
2022-12-06 00:00:00+05:30,18600.650390625,18654.900390625,18577.900390625,18642.75,217800,0.0,0.0
2022-12-07 00:00:00+05:30,18638.849609375,18668.30078125,18528.400390625,18560.5,200500,0.0,0.0
2022-12-08 00:00:00+05:30,18570.849609375,18625.0,18536.94921875,18609.349609375,202800,0.0,0.0
2022-12-09 00:00:00+05:30,18662.400390625,18664.69921875,18410.099609375,18496.599609375,215800,0.0,0.0
2022-12-12 00:00:00+05:30,18402.150390625,18521.55078125,18345.69921875,18497.150390625,193900,0.0,0.0
2022-12-13 00:00:00+05:30,18524.400390625,18617.25,18490.19921875,18608.0,187600,0.0,0.0
2022-12-14 00:00:00+05:30,18671.25,18696.099609375,18632.900390625,18660.30078125,208000,0.0,0.0
2022-12-15 00:00:00+05:30,18614.400390625,18652.900390625,18387.69921875,18414.900390625,183100,0.0,0.0
2022-12-16 00:00:00+05:30,18319.099609375,18440.94921875,18255.150390625,18269.0,277700,0.0,0.0
2022-12-19 00:00:00+05:30,18288.099609375,18431.650390625,18244.55078125,18420.44921875,154800,0.0,0.0
2022-12-20 00:00:00+05:30,18340.30078125,18404.900390625,18202.650390625,18385.30078125,169000,0.0,0.0
2022-12-21 00:00:00+05:30,18435.150390625,18473.349609375,18162.75,18199.099609375,187600,0.0,0.0
2022-12-22 00:00:00+05:30,18288.80078125,18318.75,18068.599609375,18127.349609375,195700,0.0,0.0
2022-12-23 00:00:00+05:30,17977.650390625,18050.44921875,17779.5,17806.80078125,221500,0.0,0.0
2022-12-26 00:00:00+05:30,17830.400390625,18084.099609375,17774.25,18014.599609375,176700,0.0,0.0
2022-12-27 00:00:00+05:30,18089.80078125,18149.25,17967.44921875,18132.30078125,214300,0.0,0.0
2022-12-28 00:00:00+05:30,18084.75,18173.099609375,18068.349609375,18122.5,193900,0.0,0.0
2022-12-29 00:00:00+05:30,18045.69921875,18229.69921875,17992.80078125,18191.0,281100,0.0,0.0
2022-12-30 00:00:00+05:30,18259.099609375,18265.25,18080.30078125,18105.30078125,192000,0.0,0.0
2023-01-02 00:00:00+05:30,18131.69921875,18215.150390625,18086.5,18197.44921875,256100,0.0,0.0
2023-01-03 00:00:00+05:30,18163.19921875,18251.94921875,18149.80078125,18232.55078125,208700,0.0,0.0
2023-01-04 00:00:00+05:30,18230.650390625,18243.0,18020.599609375,18042.94921875,235200,0.0,0.0
2023-01-05 00:00:00+05:30,18101.94921875,18120.30078125,17892.599609375,17992.150390625,269900,0.0,0.0
2023-01-06 00:00:00+05:30,18008.05078125,18047.400390625,17795.55078125,17859.44921875,238200,0.0,0.0
2023-01-09 00:00:00+05:30,17952.55078125,18141.400390625,17936.150390625,18101.19921875,257200,0.0,0.0
2023-01-10 00:00:00+05:30,18121.30078125,18127.599609375,17856.0,17914.150390625,283300,0.0,0.0
2023-01-11 00:00:00+05:30,17924.25,17976.349609375,17824.349609375,17895.69921875,259900,0.0,0.0
2023-01-12 00:00:00+05:30,17920.849609375,17945.80078125,17761.650390625,17858.19921875,227800,0.0,0.0
2023-01-13 00:00:00+05:30,17867.5,17999.349609375,17774.25,17956.599609375,256700,0.0,0.0
2023-01-16 00:00:00+05:30,18033.150390625,18049.650390625,17853.650390625,17894.849609375,206200,0.0,0.0
2023-01-17 00:00:00+05:30,17922.80078125,18072.05078125,17886.94921875,18053.30078125,219100,0.0,0.0
2023-01-18 00:00:00+05:30,18074.30078125,18183.75,18032.44921875,18165.349609375,255800,0.0,0.0
2023-01-19 00:00:00+05:30,18119.80078125,18155.19921875,18063.75,18107.849609375,237800,0.0,0.0
2023-01-20 00:00:00+05:30,18115.599609375,18145.44921875,18016.19921875,18027.650390625,237200,0.0,0.0
2023-01-23 00:00:00+05:30,18118.44921875,18162.599609375,18063.44921875,18118.55078125,202500,0.0,0.0
2023-01-24 00:00:00+05:30,18183.94921875,18201.25,18078.650390625,18118.30078125,216900,0.0,0.0
2023-01-25 00:00:00+05:30,18093.349609375,18100.599609375,17846.150390625,17891.94921875,257200,0.0,0.0
2023-01-27 00:00:00+05:30,17877.19921875,17884.75,17493.55078125,17604.349609375,476300,0.0,0.0
2023-01-30 00:00:00+05:30,17541.94921875,17709.150390625,17405.55078125,17648.94921875,432400,0.0,0.0
2023-01-31 00:00:00+05:30,17731.44921875,17735.69921875,17537.55078125,17662.150390625,398300,0.0,0.0
2023-02-01 00:00:00+05:30,17811.599609375,17972.19921875,17353.400390625,17616.30078125,512900,0.0,0.0
2023-02-02 00:00:00+05:30,17517.099609375,17653.900390625,17445.94921875,17610.400390625,490100,0.0,0.0
2023-02-03 00:00:00+05:30,17721.75,17870.30078125,17584.19921875,17854.05078125,424100,0.0,0.0
2023-02-06 00:00:00+05:30,17818.55078125,17823.69921875,17698.349609375,17764.599609375,282500,0.0,0.0
2023-02-07 00:00:00+05:30,17790.099609375,17811.150390625,17652.55078125,17721.5,354400,0.0,0.0
2023-02-08 00:00:00+05:30,17750.30078125,17898.69921875,17744.150390625,17871.69921875,291000,0.0,0.0
2023-02-09 00:00:00+05:30,17885.5,17916.900390625,17779.80078125,17893.44921875,260900,0.0,0.0
2023-02-10 00:00:00+05:30,17847.55078125,17876.94921875,17801.0,17856.5,232000,0.0,0.0
2023-02-13 00:00:00+05:30,17859.099609375,17880.69921875,17719.75,17770.900390625,231300,0.0,0.0
